IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
14,Sachsen,LK Zwickau,A15-A34,M,3,0,219841,2020-03-21T00:00:00.000Z,14524,24.03.2020 00:00,1,0
14,Sachsen,LK Zwickau,A15-A34,W,1,0,219842,2020-03-12T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A15-A34,W,3,0,219843,2020-03-18T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A15-A34,W,7,0,219844,2020-03-19T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A15-A34,W,4,0,219845,2020-03-20T00:00:00.000Z,14524,24.03.2020 00:00,1,0
14,Sachsen,LK Zwickau,A15-A34,W,2,0,219846,2020-03-21T00:00:00.000Z,14524,24.03.2020 00:00,1,0
14,Sachsen,LK Zwickau,A35-A59,M,2,0,219847,2020-03-14T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,M,1,0,219848,2020-03-15T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,M,1,0,219849,2020-03-16T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,M,7,0,219850,2020-03-17T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,M,7,0,219851,2020-03-18T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,M,11,0,219852,2020-03-19T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,M,2,0,219853,2020-03-20T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,M,10,0,219854,2020-03-20T00:00:00.000Z,14524,24.03.2020 00:00,1,0
14,Sachsen,LK Zwickau,A35-A59,M,1,0,219855,2020-03-21T00:00:00.000Z,14524,24.03.2020 00:00,1,0
14,Sachsen,LK Zwickau,A35-A59,W,1,0,219856,2020-03-13T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,W,3,0,219857,2020-03-14T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,W,2,0,219858,2020-03-15T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,W,1,0,219859,2020-03-16T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,W,6,0,219860,2020-03-17T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,W,11,0,219861,2020-03-18T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,W,11,0,219862,2020-03-19T00:00:00.000Z,14524,24.03.2020 00:00,0,0
14,Sachsen,LK Zwickau,A35-A59,W,7,0,219863,2020-03-20T00:00:00.000Z,14524,24.03.2020 00:00,1,0
