city,date,tod_hhmm,diagnosed,deceased
Sachsen,2020-03-02,12:00,1,0
Sachsen,2020-03-03,12:00,1,0
Sachsen,2020-03-04,12:00,1,0
Sachsen,2020-03-05,12:00,1,0
Sachsen,2020-03-06,12:00,2,0
Sachsen,2020-03-07,12:00,4,0
Sachsen,2020-03-08,12:00,10,0
Sachsen,2020-03-09,12:00,12,0
Sachsen,2020-03-10,12:00,22,0
Sachsen,2020-03-11,12:00,28,0
Sachsen,2020-03-12,12:00,49,0
Sachsen,2020-03-13,12:00,77,0
Sachsen,2020-03-14,12:00,105,0
Sachsen,2020-03-15,12:00,134,0
Sachsen,2020-03-16,12:00,152,0
Sachsen,2020-03-17,12:00,247,0
Sachsen,2020-03-18,12:00,296,0
Sachsen,2020-03-19,12:00,389,0
Sachsen,2020-03-20,12:00,562,1
Sachsen,2020-03-21,12:00,686,1
Sachsen,2020-03-22,12:00,731,1
Sachsen,2020-03-23,12:00,865,3
Sachsen,2020-03-24,12:00,1018,6
Sachsen,2020-03-25,12:00,1181,6
Sachsen,2020-03-26,12:00,1275,8
Sachsen,2020-03-27,12:00,1505,9
Sachsen,2020-03-28,12:00,1700,9
Sachsen,2020-03-29,12:00,1816,10
Sachsen,2020-03-30,12:00,1930,11
Sachsen,2020-03-31,12:00,2084,13
Sachsen,2020-04-01,12:00,2245,18
Sachsen,2020-04-02,12:00,2411,19
Sachsen,2020-04-03,12:00,2646,25
Sachsen,2020-04-04,12:00,2843,32
Sachsen,2020-04-05,12:00,3006,34
