city,date,tod_hhmm,diagnosed
Dresden,2020-03-07,12:00,2
Dresden,2020-03-08,12:00,2
Dresden,2020-03-09,12:00,2
Dresden,2020-03-10,12:00,5
Dresden,2020-03-11,12:00,5
Dresden,2020-03-12,12:00,5
Dresden,2020-03-13,12:00,12
Dresden,2020-03-14,12:00,18
Dresden,2020-03-15,12:00,18
Dresden,2020-03-16,12:00,25
Dresden,2020-03-17,12:00,35
Dresden,2020-03-18,12:00,50
Dresden,2020-03-19,12:00,60
Dresden,2020-03-20,12:00,97
Dresden,2020-03-21,12:00,115
Dresden,2020-03-22,12:00,139
Dresden,2020-03-23,12:00,154
Dresden,2020-03-24,12:00,167
Dresden,2020-03-25,12:00,216
